A9E0	Myanmar Extended-B
AA00	Cham
AA60	Myanmar Extended-A
AA80	Tai Viet
AAE0	Meetei Mayek Extensions
AB00	Ethiopic Extended-A
AB30	Latin Extended-E
AB70	Cherokee Supplement
ABC0	Meetei Mayek
AC00	Hangul Syllables
D7B0	Hangul Jamo Extended-B
D800	High Surrogates
DB80	High Private Use Surrogates
DC00	Low Surrogates
E000	Private Use Area
F900	CJK Compatibility Ideographs
FB00	Alphabetic Presentation Forms
FB50	Arabic Presentation Forms-A
FE00	Variation Selectors
FE10	Vertical Forms
FE20	Combining Half Marks
FE30	CJK Compatibility Forms
FE50	Small Form Variants
FE70	Arabic Presentation Forms-B
FF00	Halfwidth and Fullwidth Forms
FFF0	Specials
10000	Linear B Syllabary
10080	Linear B Ideograms
10100	Aegean Numbers
10140	Ancient Greek Numbers
10190	Ancient Symbols
101D0	Phaistos Disc
10280	Lycian
102A0	Carian
102E0	Coptic Epact Numbers
10300	Old Italic
10330	Gothic
10350	Old Permic
10380	Ugaritic
103A0	Old Persian
10400	Deseret
10450	Shavian
10480	Osmanya
104B0	Osage
10500	Elbasan
10530	Caucasian Albanian
10600	Linear A
10800	Cypriot Syllabary
10840	Imperial Aramaic
10860	Palmyrene
10880	Nabataean
108E0	Hatran
10900	Phoenician
10920	Lydian
10980	Meroitic Hieroglyphs
109A0	Meroitic Cursive
10A00	Kharoshthi
10A60	Old South Arabian
10A80	Old North Arabian
10AC0	Manichaean
10B00	Avestan
10B40	Inscriptional Parthian
10B60	Inscriptional Pahlavi
10B80	Psalter Pahlavi
10C00	Old Turkic
10C80	Old Hungarian
10E60	Rumi Numeral Symbols
11000	Brahmi
11080	Kaithi
110D0	Sora Sompeng
11100	Chakma
11150	Mahajani
11180	Sharada
111E0	Sinhala Archaic Numbers
11200	Khojki
11280	Multani
112B0	Khudawadi
11300	Grantha
11400	Newa
11480	Tirhuta
11580	Siddham
11600	Modi
11660	Mongolian Supplement
11680	Takri
11700	Ahom
118A0	Warang Citi
11A00	Zanabazar Square
11A50	Soyombo
11AC0	Pau Cin Hau
11C00	Bhaiksuki
11C70	Marchen
11D00	Masaram Gondi
12000	Cuneiform
12400	Cuneiform Numbers and Punctuation
12480	Early Dynastic Cuneiform
13000	Egyptian Hieroglyphs
14400	Anatolian Hieroglyphs
16800	Bamum Supplement
16A40	Mro
16AD0	Bassa Vah
16B00	Pahawh Hmong
16F00	Miao
16FE0	Ideographic Symbols and Punctuation
17000	Tangut
18800	Tangut Components
1B000	Kana Supplement
1B100	Kana Extended-A
1B170	Nushu
1BC00	Duployan
1BCA0	Shorthand Format Controls
1D000	Byzantine Musical Symbols
1D100	Musical Symbols
1D200	Ancient Greek Musical Notation
1D300	Tai Xuan Jing Symbols
1D360	Counting Rod Numerals
1D400	Mathematical Alphanumeric Symbols
1D800	Sutton SignWriting
1E000	Glagolitic Supplement
1E800	Mende Kikakui
1E900	Adlam
1EE00	Arabic Mathematical Alphabetic Symbols
1F000	Mahjong Tiles
1F030	Domino Tiles
1F0A0	Playing Cards
1F100	Enclosed Alphanumeric Supplement
1F200	Enclosed Ideographic Supplement
1F300	Miscellaneous Symbols and Pictographs
1F600	Emoticons
1F650	Ornamental Dingbats
1F680	Transport and Map Symbols
1F700	Alchemical Symbols
1F780	Geometric Shapes Extended
1F800	Supplemental Arrows-C
1F900	Supplemental Symbols and Pictographs
20000	CJK Unified Ideographs Extension B
2A700	CJK Unified Ideographs Extension C
2B740	CJK Unified Ideographs Extension D
2B820	CJK Unified Ideographs Extension E
2CEB0	CJK Unified Ideographs Extension F
2F800	CJK Compatibility Ideographs Supplement
E0000	Tags
E0100	Variation Selectors Supplement
F0000	Supplementary Private Use Area-A
100000	Supplementary Private Use Area-B
